data_downloader,schema-sentinel,eda_profiler,well_group_detector,target_diagnostician,feature_engineer,preprocessor,cv_orchestrator,model_trainer,model_ensembler,predictor,oof_evaluator,error_analyzer,submission_formatter,submission_validator,kaggle_submitter,seed-control-officer,experiment-design-architect,architecture-decision-recorder,dependency-graph-orchestrator
,,,,,,,,,,,,,,,,pin_seed,design_factorial_and_episodic_training,record_initial_adr,add_task
,,,,,,,,,,,,,,,,,,,add_dep
,,,,,,,,,,,,,,,,,,,topological_order
,,,,,,,,,,,,,,,,,,,dispatch
,,,,,,,,,,,,,,,,,,,bind_producers_to_type3_consumers
kaggle --version,,,,,,,,,,,,,,,,,,,
,type3_consumer_bound_data_downloader_after_cli,,,,,,,,,,,,,,,,,,
cd /lustre/work/sweeden/rogii && kaggle competitions download -c rogii-wellbore-geology-prediction -p data/ -q,,,,,,,,,,,,,,,,,,,
,type3_consumer_bound_data_downloader_after_cli,,,,,,,,,,,,,,,,,,
cd /lustre/work/sweeden/rogii && unzip -o data/rogii-wellbore-geology-prediction.zip -d data/,,,,,,,,,,,,,,,,,,,
,type3_consumer_bound_data_downloader,,,,,,,,,,,,,,,,,,
cd /lustre/work/sweeden/rogii && find data/ -name '*.csv' | sort,,,,,,,,,,,,,,,,,,,
,register_schema,,,,,,,,,,,,,,,,,,
,load_sample_submission,,,,,,,,,,,,,,,,,,
,,load_train_csv,,,,,,,,,,,,,,,,,
,type3_consumer_bound_eda_profiler,,,,,,,,,,,,,,,,,,
,infer_id_column,,,,,,,,,,,,,,,,,,
,,load_test_csv,,,,,,,,,,,,,,,,,
,infer_target_columns,,,,,,,,,,,,,,,,,,
,check_dataframe,,,,,,,,,,,,,,,,,,
,,compute_row_counts,,,,,,,,,,,,,,,,,
,,compute_dtypes,,,,,,,,,,,,,,,,,
,,compute_missingness_rates,,,,,,,,,,,,,,,,,
,,plot_correlation_matrix,,,,,,,,,,,,,,,,,
,,,scan_for_well_columns,,,,,,,,,,,,,,,,
,type3_consumer_bound_well_group_detector,,,,,,,,,,,,,,,,,,
,,,recommend_group_key,,,,,,,,,,,,,,,,
,,,,detect_sentinel_values,,,,,,,,,,,,,,,
,type3_consumer_bound_target_diagnostician,,,,,,,,,,,,,,,,,,
,,,,check_strict_positivity,,,,,,,,,,,,,,,
,,,,recommend_log1p,,,,,,,,,,,,,,,
,,,,plot_qq,,,,,,,,,,,,,,,
,,,,fit_log1p_transform_params,,,,,,,,,,,,,,,
,,,,,identify_depth_column,,,,,,,,,,,,,,
,type3_consumer_bound_feature_engineer,,,,,,,,,,,,,,,,,,
,,,,,compute_rolling_features,,,,,,,,,,,,,,
,,,,,encode_formation_codes,,,,,,,,,,,,,,
,,,,,,replace_sentinels_with_nan,,,,,,,,,,,,,
,type3_consumer_bound_preprocessor,,,,,,,,,,,,,,,,,,
,,,,,,build_robust_scaler_pipeline,,,,,,,,,,,,,
,,,,,,build_numeric_pipeline,,,,,,,,,,,,,
,,,,,,assemble_column_transformer,,,,,,,,,,,,,
,,,,,,persist_transform_metadata,,,,,,,,,,,,,
,,,provide_groups,,,,,,,,,,,,,,,,
,,,,,,,choose_cv_scheme,,,,,,,,,,,,
,type3_consumer_bound_cv_orchestrator,,,,,,,,,,,,,,,,,,
,,,,,,,instantiate_groupkfold,,,,,,,,,,,,
,,,,,,,emit_fold_indices,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,plan_episodic_training_schedule,,
,type3_consumer_bound_experiment_design_architect,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,define_episode_boundaries_by_well_or_fold,,
,,,,,,,,,,,,,,,,,set_episode_max_steps_and_patience,,
,,,,,,,,,,,,,,,,,,record_checkpoint_artifact_policy,
,type3_consumer_bound_architecture_decision_recorder,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,record_kaggle_dataset_or_model_publish_adr,
,,,,,,,,,,,,,,,,,,,add_task
,,,,,,,,,,,,,,,,,,,add_dep
,,,,,,,,,,,,,,,,,,,add_dep
,,,,,,,,cd /lustre/work/sweeden/rogii && mkdir -p artifacts/checkpoints/episodes artifacts/model_card,,,,,,,,,,,
,type3_consumer_bound_model_trainer,,,,,,,,,,,,,,,,,,
,,,,,,,,cd /lustre/work/sweeden/rogii && sbatch --parsable hpcc/train_tcn_episodic.slurm,,,,,,,,,,,
,type3_consumer_bound_model_trainer_after_cli,,,,,,,,,,,,,,,,,,
,,,,,,,,cd /lustre/work/sweeden/rogii && python scripts/save_fold_checkpoint.py --out artifacts/checkpoints/fold_{k}.pkl,,,,,,,,,,,
,type3_consumer_bound_model_trainer_after_cli,,,,,,,,,,,,,,,,,,
,,,,,,,,cd /lustre/work/sweeden/rogii && python scripts/export_safetensors_adapter.py --out artifacts/checkpoints/fold_{k}.safetensors,,,,,,,,,,,
,type3_consumer_bound_model_trainer_after_cli,,,,,,,,,,,,,,,,,,
,,,,,,,,cd /lustre/work/sweeden/rogii && python scripts/write_episode_manifest.py --out artifacts/checkpoints/episode_manifest.json,,,,,,,,,,,
,type3_consumer_bound_model_trainer_after_cli,,,,,,,,,,,,,,,,,,
,,,,,,,,,load_episode_checkpoints,,,,,,,,,,
,type3_consumer_bound_model_ensembler,,,,,,,,,,,,,,,,,,
,,,,,,,,,select_best_episode_by_oof_rmse,,,,,,,,,,
,,,,,,,,,,load_checkpoint_pkl_or_safetensors,,,,,,,,,
,,,,,,,,,,,,,,type3_consumer_bound_predictor,,,,,
,,,,,,,,,,generate_sample_submission_from_checkpoint,,,,,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle datasets init -p artifacts/checkpoints,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && python scripts/write_dataset_metadata.py -p artifacts/checkpoints -o artifacts/checkpoints/dataset-metadata.json,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle datasets create -p artifacts/checkpoints -r zip -m rogii-checkpoints-v1,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle datasets version -p artifacts/checkpoints -r zip -m rogii-checkpoints-v2,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle models init -p artifacts/model_card,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && python scripts/write_kaggle_model_description.py -p artifacts/model_card,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle models create -p artifacts/model_card,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle models versions create -m sweeden-ttu/rogii-wellbore-checkpoint -p artifacts/model_card -r zip,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,cd /lustre/work/sweeden/rogii && uv pip install lightgbm -q,,,,,,,,,,,
,type3_consumer_bound_model_trainer_after_cli,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && sbatch --parsable hpcc/vague_spec_batch_matador.slurm,,
,type3_consumer_bound_experiment_design_architect_after_cli,,,,,,,,,,,,,,,,,,
,,,,,,,,set_objective_regression,,,,,,,,,,,
,,,,,,,,set_metric_rmse,,,,,,,,,,,
,,,,,,,,cd /lustre/work/sweeden/rogii && sbatch --parsable hpcc/train_tcn.slurm,,,,,,,,,,,
,type3_consumer_bound_model_trainer_after_cli,,,,,,,,,,,,,,,,,,
,,,,,,,,log_best_iteration,,,,,,,,,,,
,,,,,,,,cd /lustre/work/sweeden/rogii && ls -la artifacts/,,,,,,,,,,,
,,,,,,,,,train_with_seed_42,,,,,,,,,,
,,,,,,,,,train_with_seed_69,,,,,,,,,,
,,,,,,,,,train_with_seed_2024,,,,,,,,,,
,,,,,,,,,average_seed_predictions,,,,,,,,,,
,,,,,,,,,,collect_oof_predictions,,,,,,,,,
,,,,,,,,,,,compute_rmse_per_fold,,,,,,,,
,type3_consumer_bound_oof_evaluator,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,compute_mean_oof_rmse,,,,,,,,
,,,,,,,,,,,report_std_across_folds,,,,,,,,
,,,,,,,,,,,compare_to_baseline,,,,,,,,
,,,,,,,,,,,,compute_residuals,,,,,,,
,type3_consumer_bound_error_analyzer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,slice_by_well,,,,,,,
,,,,,,,,,,,,slice_by_depth_bin,,,,,,,
,,,,,,,,,,,,plot_residuals_vs_target,,,,,,,
,,,,,,,,,,,,identify_worst_wells,,,,,,,
,,,,,,,,,,load_fold_models,,,,,,,,,
,,,,,,,,,,predict_per_fold,,,,,,,,,
,,,,,,,,,,average_test_predictions,,,,,,,,,
,,,,,,,,,,inverse_log1p,,,,,,,,,
,,,,,,,,,,,,,align_to_sample_submission_columns,,,,,,
,,,,,,,,,,,,,,type3_consumer_bound_submission_formatter,,,,,
,,,,,,,,,,,,,set_id_column,,,,,,
,,,,,,,,,,,,,set_prediction_columns,,,,,,
,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && cp submission.csv data/submission.csv,,,,,,
,,,,,,,,,,,,,,assert_row_count_matches_test,,,,,
,,,,,,,,,,,,,,clip_nonnegative_if_positive_target,,,,,
,,,,,,,,,,,,,,assert_no_nans,,,,,
,,,,,,,,,,,,,,assert_columns_match_sample,,,,,
,,,,,,,,,,,,,,print_head_describe,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle competitions files -c rogii-wellbore-geology-prediction -q,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,kaggle config view -q,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,kaggle kernels push --help,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,squeue -u $USER -n rogii_tcn -h,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle competitions submit -c rogii-wellbore-geology-prediction -f submission.csv -m rogii-trace -q,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle competitions submissions -c rogii-wellbore-geology-prediction -q,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && kaggle competitions leaderboard -c rogii-wellbore-geology-prediction -q,,,,
,,,,,,,,,,,,,,type3_consumer_bound_kaggle_submitter_after_cli,,,,,
,,,,,,,,,,,,,,,,,,,add_task
,,,,,,,,,,,,,,,,,,,add_dep
,,,,,,,,,,,,,,,,idempotency_review,,,
,type3_consumer_bound_seed_control_officer,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,verify_rerun_produces_identical_artifacts,,,
,,,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && python scripts/idempotency_review.py --artifacts-dir artifacts/ -q,,,
,type3_consumer_bound_seed_control_officer_after_cli,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,code_review,,,,,,,
,,,,,,,,,,,,review_shortcuts_and_hardcoded_values,,,,,,,
,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && python scripts/code_review_trace.py --scan-hardcoded --paths pipeline/ scripts/ hpcc/,,,,,,,
,type3_consumer_bound_error_analyzer_after_cli,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,architecture_review,
,,,,,,,,,,,,,,,,,,record_architecture_review_adr,
,,,,,,,,,,,,,,test_review,,,,,
,,,,,,,,,,,,,,cd /lustre/work/sweeden/rogii && mamba run -n kc-rogii-wellbore-geology-prediction pytest tests/ -q --tb=line 2>/dev/null || pytest tests/ -q --tb=line,,,,,
,,,,,,,,training_review,,,,,,,,,,,
,,,,,,,,review_checkpoint_manifest_vs_training_plan,,,,,,,,,,,
,,,,,,,,cd /lustre/work/sweeden/rogii && ls -la artifacts/checkpoints/ && test -f artifacts/checkpoints/episode_manifest.json,,,,,,,,,,,
,,,,,,,,,,,,,,,,,statistical_mathematical_soundness_review,,
,,,,,,,,,,,,,,,,,verify_rmse_objective_matches_competition_metric,,
,,,,,,,,,,,,,,,,,verify_cv_splits_respect_group_leakage_constraints,,
